gene_id,kegg_pathways,pathway_names,metabolite_group
AT1G01050,ath00190,Oxidative phosphorylation,other
AT1G01090,ath00010; ath00620; ath00650,Glycolysis / Gluconeogenesis; Pyruvate metabolism; Butanoate metabolism,sugar
AT1G01210,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT1G01220,ath00051; ath00520,Fructose and mannose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT1G01460,ath00562,Inositol phosphate metabolism,alcohol-sugars
AT1G01480,ath00270,Cysteine and methionine metabolism,amino acids
AT1G01610,ath00561; ath00564,Glycerolipid metabolism; Glycerophospholipid metabolism,other
AT1G01710,ath01040,Biosynthesis of unsaturated fatty acids,organic-acids
AT1G02000,ath00500; ath00520,Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT1G02145,ath00510,N-Glycan biosynthesis,other
AT1G02390,ath00561; ath00564,Glycerolipid metabolism; Glycerophospholipid metabolism,other
AT1G02410,ath00190,Oxidative phosphorylation,other
AT1G02500,ath00270,Cysteine and methionine metabolism,amino acids
AT1G02640,ath00500; ath00460,Starch and sucrose metabolism; Cyanoamino acid metabolism,amino acids
AT1G02730,ath00500; ath00520,Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT1G02790,ath00040; ath00500,Pentose and glucuronate interconversions; Starch and sucrose metabolism,sugar
AT1G02920,ath00480,Glutathione metabolism,other
AT1G02940,ath00480,Glutathione metabolism,other
AT1G02950,ath00480,Glutathione metabolism,other
AT1G03090,ath00280,"Valine, leucine and isoleucine degradation",amino acids
AT1G03130,ath00195,Photosynthesis,other
AT1G03600,ath00195,Photosynthesis,other
AT1G04410,ath00620; ath00630; ath00710,Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism; Carbon fixation in photosynthetic organisms,organic-acids
AT1G04610,ath00380,Tryptophan metabolism,amino acids
AT1G04630,ath00190,Oxidative phosphorylation,other
AT1G04680,ath00040,Pentose and glucuronate interconversions,sugar
AT1G04710,ath00071; ath01040; ath00280,"Fatty acid degradation; Biosynthesis of unsaturated fatty acids; Valine, leucine and isoleucine degradation",organic-acids
AT1G04920,ath00500,Starch and sucrose metabolism,sugar
AT1G05010,ath00270,Cysteine and methionine metabolism,amino acids
AT1G05260,ath00360,Phenylalanine metabolism,amino acids
AT1G05590,ath00520; ath00531; ath00603; ath00604; ath00511,Amino sugar and nucleotide sugar metabolism; Glycosaminoglycan degradation; Glycosphingolipid biosynthesis – globo series; Glycosphingolipid biosynthesis – ganglio series; Other glycan degradation,sugar
AT1G05610,ath00500; ath00520,Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT1G06020,ath00051; ath00500; ath00520,Fructose and mannose metabolism; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT1G06030,ath00051; ath00500; ath00520,Fructose and mannose metabolism; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT1G06080,ath01040,Biosynthesis of unsaturated fatty acids,organic-acids
AT1G06290,ath00071; ath00592; ath01040,Fatty acid degradation; alpha-Linolenic acid metabolism; Biosynthesis of unsaturated fatty acids,organic-acids
AT1G06310,ath00071; ath00592; ath01040,Fatty acid degradation; alpha-Linolenic acid metabolism; Biosynthesis of unsaturated fatty acids,organic-acids
AT1G06410,ath00500,Starch and sucrose metabolism,sugar
AT1G06520,ath00561; ath00564,Glycerolipid metabolism; Glycerophospholipid metabolism,other
AT1G06550,ath00640; ath00280; ath00410,"Propanoate metabolism; Valine, leucine and isoleucine degradation; beta-Alanine metabolism",amino acids
AT1G06570,ath00350; ath00360,Tyrosine metabolism; Phenylalanine metabolism,amino acids
AT1G06680,ath00195,Photosynthesis,other
AT1G06780,ath00500; ath00520,Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism,sugar
AT1G06790,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT1G07110,ath00051,Fructose and mannose metabolism,sugar
AT1G07230,ath00562; ath00564; ath00565,Inositol phosphate metabolism; Glycerophospholipid metabolism; Ether lipid metabolism,alcohol-sugars
AT1G07420,ath00100,Steroid biosynthesis,other
AT1G07890,ath00053; ath00480,Ascorbate and aldarate metabolism; Glutathione metabolism,acid-sugars
AT1G08065,ath00910,Nitrogen metabolism,other
AT1G08080,ath00910,Nitrogen metabolism,other
AT1G08110,ath00620,Pyruvate metabolism,other
AT1G08200,ath00520,Amino sugar and nucleotide sugar metabolism,sugar
AT1G08260,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT1G08380,ath00195,Photosynthesis,other
AT1G08490,ath00450; ath00730,Selenocompound metabolism; Thiamine metabolism,other
AT1G08510,ath00061,Fatty acid biosynthesis,organic-acids
AT1G08630,ath00260,"Glycine, serine and threonine metabolism",other
AT1G09420,ath00030; ath00480,Pentose phosphate pathway; Glutathione metabolism,sugar
AT1G09780,ath00010,Glycolysis / Gluconeogenesis,sugar
AT1G09795,ath00340,Histidine metabolism,amino acids
AT1G09815,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT1G09830,ath00230,Purine metabolism,other
AT1G10060,ath00280,"Valine, leucine and isoleucine degradation",amino acids
AT1G10070,ath00280,"Valine, leucine and isoleucine degradation",amino acids
AT1G10900,ath00562,Inositol phosphate metabolism,alcohol-sugars
AT1G10960,ath00195,Photosynthesis,other
AT1G11475,ath00230; ath00240,Purine metabolism; Pyrimidine metabolism,other
AT1G11590,ath00040; ath00500,Pentose and glucuronate interconversions; Starch and sucrose metabolism,sugar
AT1G11680,ath00100,Steroid biosynthesis,other
AT1G11840,ath00620,Pyruvate metabolism,other
AT1G11860,ath00910; ath00260,"Nitrogen metabolism; Glycine, serine and threonine metabolism",other
