gene_id,kegg_pathways,pathway_names,metabolite_group
AT1G01190,ath00903; ath00945,"Limonene and pinene degradation; Stilbenoid, diarylheptanoid and gingerol biosynthesis",terpenoids & carotenoids
AT1G01600,ath00903; ath00945,"Limonene and pinene degradation; Stilbenoid, diarylheptanoid and gingerol biosynthesis",terpenoids & carotenoids
AT1G02640,ath00940,Phenylpropanoid biosynthesis,phenylpropanoids & polyphenols
AT1G05160,ath00904,Diterpenoid biosynthesis,terpenoids & carotenoids
AT1G05260,ath00940,Phenylpropanoid biosynthesis,phenylpropanoids & polyphenols
AT1G06820,ath00906,Carotenoid biosynthesis,terpenoids & carotenoids
AT1G07450,ath00960,"Tropane, piperidine and pyridine alkaloid biosynthesis",alkaloids
AT1G08550,ath00906,Carotenoid biosynthesis,terpenoids & carotenoids
AT1G10060,ath00966,Glucosinolate biosynthesis,glucosinolates
AT1G10070,ath00966,Glucosinolate biosynthesis,glucosinolates
AT1G11600,ath00903; ath00945,"Limonene and pinene degradation; Stilbenoid, diarylheptanoid and gingerol biosynthesis",terpenoids & carotenoids
AT1G11610,ath00903; ath00945,"Limonene and pinene degradation; Stilbenoid, diarylheptanoid and gingerol biosynthesis",terpenoids & carotenoids
AT1G11755,ath00900,Terpenoid backbone biosynthesis,terpenoids & carotenoids
AT1G13090,ath00903; ath00945,"Limonene and pinene degradation; Stilbenoid, diarylheptanoid and gingerol biosynthesis",terpenoids & carotenoids
AT1G13100,ath00903; ath00945,"Limonene and pinene degradation; Stilbenoid, diarylheptanoid and gingerol biosynthesis",terpenoids & carotenoids
AT1G13710,ath00903; ath00945,"Limonene and pinene degradation; Stilbenoid, diarylheptanoid and gingerol biosynthesis",terpenoids & carotenoids
AT1G14540,ath00940,Phenylpropanoid biosynthesis,phenylpropanoids & polyphenols
AT1G14550,ath00940,Phenylpropanoid biosynthesis,phenylpropanoids & polyphenols
AT1G15550,ath00904,Diterpenoid biosynthesis,terpenoids & carotenoids
AT1G15950,ath00940,Phenylpropanoid biosynthesis,phenylpropanoids & polyphenols
AT1G16400,ath00966,Glucosinolate biosynthesis,glucosinolates
AT1G16410,ath00966,Glucosinolate biosynthesis,glucosinolates
AT1G17050,ath00900,Terpenoid backbone biosynthesis,terpenoids & carotenoids
AT1G18270,ath00903,Limonene and pinene degradation,terpenoids & carotenoids
AT1G18590,ath00966,Glucosinolate biosynthesis,glucosinolates
AT1G22400,ath00908,Zeatin biosynthesis,terpenoids & carotenoids
AT1G23800,ath00903,Limonene and pinene degradation,terpenoids & carotenoids
AT1G24100,ath00966,Glucosinolate biosynthesis,glucosinolates
AT1G24110,ath00940,Phenylpropanoid biosynthesis,phenylpropanoids & polyphenols
AT1G24735,ath00940; ath00941; ath00945,"Phenylpropanoid biosynthesis; Flavonoid biosynthesis; Stilbenoid, diarylheptanoid and gingerol biosynthesis",phenylpropanoids & polyphenols
AT1G25410,ath00908,Zeatin biosynthesis,terpenoids & carotenoids
AT1G26560,ath00940,Phenylpropanoid biosynthesis,phenylpropanoids & polyphenols
AT1G30100,ath00906,Carotenoid biosynthesis,terpenoids & carotenoids
AT1G30870,ath00940,Phenylpropanoid biosynthesis,phenylpropanoids & polyphenols
AT1G31910,ath00900,Terpenoid backbone biosynthesis,terpenoids & carotenoids
AT1G34510,ath00940,Phenylpropanoid biosynthesis,phenylpropanoids & polyphenols
AT1G44170,ath00903,Limonene and pinene degradation,terpenoids & carotenoids
AT1G44970,ath00940,Phenylpropanoid biosynthesis,phenylpropanoids & polyphenols
AT1G48130,ath00940,Phenylpropanoid biosynthesis,phenylpropanoids & polyphenols
AT1G49530,ath00900,Terpenoid backbone biosynthesis,terpenoids & carotenoids
AT1G49570,ath00940,Phenylpropanoid biosynthesis,phenylpropanoids & polyphenols
AT1G51680,ath00940,Phenylpropanoid biosynthesis,phenylpropanoids & polyphenols
AT1G52340,ath00906,Carotenoid biosynthesis,terpenoids & carotenoids
AT1G61720,ath00941,Flavonoid biosynthesis,phenylpropanoids & polyphenols
AT1G61820,ath00940,Phenylpropanoid biosynthesis,phenylpropanoids & polyphenols
AT1G62800,ath00950; ath00960,"Isoquinoline alkaloid biosynthesis; Tropane, piperidine and pyridine alkaloid biosynthesis",alkaloids
AT1G62940,ath00940,Phenylpropanoid biosynthesis,phenylpropanoids & polyphenols
AT1G63970,ath00900,Terpenoid backbone biosynthesis,terpenoids & carotenoids
AT1G65060,ath00940,Phenylpropanoid biosynthesis,phenylpropanoids & polyphenols
AT1G67110,ath00908,Zeatin biosynthesis,terpenoids & carotenoids
