"tair_id","r_value"
"AT2G38900",0.945
"AT3G49300",0.911
"AT2G38870",0.909
"AT3G13540",0.902
"AT5G03795",0.9
"AT3G29810",0.891
"AT3G25260",0.89
"AT3G04280",0.882
"AT5G44360",0.874
"AT5G13390",0.868
"AT2G42860",0.867
"AT3G47950",0.863
"AT3G03240",0.862
"AT5G48100",0.86
"AT4G32290",0.86
"AT3G26744",0.859
"AT3G03230",0.858
"AT1G78390",0.858
"AT2G41230",0.857
"AT1G68170",0.856
"AT4G37050",0.855
"AT4G36700",0.851
"AT1G60970",0.85
"AT5G48950",0.846
"AT1G70140",0.846
"AT5G50260",0.844
"AT1G62000",0.842
"AT1G31830",0.839
"AT4G00220",0.839
"AT5G38195",0.837
"AT3G63040",0.834
"AT4G10490",0.834
"AT2G45840",0.832
"AT1G20550",0.83
"AT5G38160",0.83
"AT1G43640",0.828
"AT1G22180",0.828
"AT2G21180",0.825
"AT5G17430",0.825
"AT3G26790",0.825
"AT4G26590",0.825
"AT5G24316",0.824
"AT4G32770",0.824
"AT4G12250",0.824
"AT5G51210",0.822
"AT5G10140",0.822
"AT5G59590",0.821
"AT5G14130",0.821
"AT3G20500",0.821
"AT3G58200",0.82
"AT1G76290",0.819
"AT1G17060",0.815
"AT5G40970",0.815
"AT1G16980",0.814
"AT3G02610",0.813
"AT3G14360",0.813
"AT1G04660",0.811
"AT2G38530",0.811
"AT1G68220",0.808
"AT1G65090",0.808
"AT1G14580",0.807
"AT2G45420",0.806
"AT5G62800",0.806
"AT5G58660",0.805
"AT2G25940",0.804
"AT1G62290",0.804
"AT4G37360",0.802
"AT4G34520",0.802
"AT5G38170",0.802
"AT2G46960",0.801
"AT3G46920",0.8
"AT1G20500",0.799
"AT3G03590",0.798
"AT2G27070",0.798
"AT1G47540",0.798
"AT1G28640",0.798
"AT1G27080",0.798
"AT3G09910",0.796
"AT1G03270",0.795
"AT3G16770",0.794
"AT1G68380",0.793
"AT1G31280",0.791
"AT1G08700",0.791
"AT1G67100",0.791
"AT5G60460",0.791
"AT1G05280",0.791
"AT1G63240",0.79
"AT2G02080",0.79
"AT5G25900",0.79
"AT5G24910",0.79
"AT1G11170",0.79
"AT5G03810",0.79
"AT1G62620",0.789
"AT3G01570",0.789
"AT1G17770",0.788
"AT4G10750",0.787
"AT2G28650",0.787
"AT3G16190",0.786
"AT5G47550",0.785
"AT1G04260",0.785
"AT5G26120",0.784
"AT1G64660",0.784
"AT5G50770",0.784
"AT5G63260",0.783
"AT5G09640",0.783
"AT4G27150",0.782
"AT2G40950",0.781
"AT1G19190",0.781
"AT2G15010",0.781
"AT5G28910",0.78
"AT5G40420",0.78
"AT4G27160",0.779
"AT1G20870",0.779
"AT2G44450",0.778
"AT1G07870",0.778
"AT4G29230",0.777
"AT1G09380",0.777
"AT1G61240",0.777
"AT3G07680",0.776
"AT5G56300",0.776
"AT2G19570",0.775
"AT1G04120",0.775
"AT4G16620",0.774
"AT5G14620",0.774
"AT5G47150",0.773
"AT5G62620",0.772
"AT2G27380",0.772
"AT4G29650",0.772
"AT2G34700",0.771
"AT5G24600",0.771
"AT1G48910",0.771
"AT1G01250",0.771
"AT4G19380",0.77
"AT4G31060",0.769
"AT2G36760",0.769
"AT2G22620",0.769
"AT3G18270",0.769
"AT5G08430",0.768
"AT1G29820",0.768
"AT2G02580",0.768
"AT3G21800",0.768
"AT5G59220",0.767
"AT3G52780",0.767
"AT1G01230",0.767
"AT1G31470",0.767
"AT3G60680",0.767
"AT3G20910",0.767
"AT1G68470",0.767
"AT2G34315",0.767
"AT5G44120",0.766
"AT4G26740",0.766
"AT3G10200",0.766
"AT4G37950",0.765
"AT5G23610",0.765
"AT5G64080",0.765
"AT3G10810",0.765
"AT1G48470",0.765
"AT1G63820",0.765
"AT3G24650",0.764
"AT5G42690",0.764
"AT2G01190",0.763
"AT4G28520",0.761
"AT5G62090",0.761
"AT5G13170",0.76
"AT1G03880",0.76
"AT2G23410",0.76
"AT4G27460",0.759
"AT5G03200",0.759
"AT5G12970",0.759
"AT2G43520",0.759
"AT5G55370",0.759
"AT5G51490",0.759
"AT1G80330",0.758
"AT2G41070",0.758
"AT3G46220",0.757
"AT4G26200",0.757
"AT4G27140",0.756
"AT5G24130",0.756
"AT2G32750",0.756
"AT2G40370",0.755
"AT4G33280",0.755
"AT5G58540",0.755
"AT3G21560",0.755
"AT1G62040",0.754
"AT3G62730",0.753
"AT3G27660",0.753
"AT5G59845",0.753
"AT5G16230",0.752
"AT2G16595",0.752
"AT5G47330",0.751
"AT3G17600",0.751
"AT4G27170",0.751
"AT4G10150",0.751
"AT3G18030",0.75
"AT4G15380",0.75
"AT2G28240",0.75
"AT5G12980",0.75
"AT5G18290",0.749
"AT3G62690",0.749
"AT1G13740",0.748
"AT1G71950",0.748
"AT2G28490",0.748
"AT1G30935",0.748
"AT1G08810",0.748
"AT1G19230",0.747
"AT3G60340",0.747
"AT5G01990",0.746
"AT5G49990",0.746
"AT3G02875",0.745
"AT2G01580",0.744
"AT5G54930",0.744
"AT5G46230",0.744
"AT5G15740",0.744
"AT1G17100",0.744
"AT2G47350",0.744
"AT1G16590",0.743
"AT4G25140",0.743
"AT5G64780",0.743
"AT3G52850",0.743
"AT5G07190",0.742
"AT3G20340",0.742
"AT1G09790",0.742
"AT2G19350",0.742
"AT5G07200",0.741
"AT5G11390",0.741
"AT1G05340",0.74
"AT5G50750",0.74
"AT5G51830",0.739
"AT3G09850",0.739
"AT5G43860",0.738
"AT1G63300",0.738
"AT1G08630",0.738
"AT4G39240",0.737
"AT4G11980",0.737
"AT4G01970",0.737
"AT5G10510",0.736
"AT1G54860",0.735
"AT1G33700",0.735
"AT1G18940",0.735
"AT1G71130",0.735
"AT5G43980",0.735
"AT1G67420",0.734
"AT2G04520",0.734
"AT5G07500",0.733
"AT1G04230",0.733
"AT2G41550",0.733
"AT5G14420",0.733
"AT1G14760",0.733
"AT2G25720",0.733
"AT3G49780",0.733
"AT1G62610",0.733
"AT1G31930",0.732
"AT5G42200",0.732
"AT3G03330",0.732
"AT1G12010",0.732
"AT5G41610",0.732
"AT3G22900",0.732
"AT2G16070",0.731
"AT5G39410",0.731
"AT1G03890",0.731
"AT5G15240",0.73
"AT5G09310",0.73
"AT3G60220",0.73
"AT5G57390",0.729
"AT2G15440",0.729
"AT4G10330",0.729
"AT5G59170",0.729
"AT1G18840",0.728
"AT3G44830",0.728
"AT5G60680",0.728
"AT1G78500",0.727
"AT5G01790",0.727
"AT5G47020",0.726
"AT4G02360",0.726
"AT2G06720",0.726
"AT1G27960",0.726
"AT1G06010",0.725
"AT5G41560",0.725
"AT3G44460",0.725
"AT5G47060",0.725
"AT4G29640",0.725
"AT3G54940",0.725
"AT2G23510",0.725
"AT3G53370",0.725
"AT5G55620",0.725
"AT3G22640",0.724
"AT1G77850",0.724
"AT3G28360",0.724
"AT4G26750",0.724
"AT4G40040",0.724
"AT5G41340",0.724
"AT2G47750",0.723
"AT3G01890",0.723
"AT4G13030",0.723
"AT5G41040",0.723
"AT5G62640",0.722
"AT5G09530",0.721
"AT1G29680",0.721
"AT2G02990",0.721
"AT2G26070",0.721
"AT3G62920",0.72
"AT5G09480",0.72
"AT1G80090",0.72
"AT4G00238",0.72
"AT3G49380",0.718
"AT5G16320",0.718
"AT3G08690",0.718
"AT1G04380",0.718
"AT5G22220",0.718
"AT5G66100",0.717
"AT1G48050",0.717
"AT1G62710",0.717
"AT3G62100",0.717
"AT4G14900",0.717
"AT1G60030",0.716
"AT2G47850",0.716
"AT5G39130",0.716
"AT1G77240",0.715
"AT5G64190",0.715
"AT5G54640",0.715
"AT5G65590",0.715
"AT3G22845",0.715
"AT1G04310",0.715
"AT2G38905",0.715
"AT5G23460",0.715
"AT3G18570",0.714
"AT3G20210",0.714
"AT5G23190",0.714
"AT3G56850",0.714
"AT2G13160",0.713
"AT2G23260",0.713
"AT5G24380",0.713
"AT2G23120",0.713
"AT5G52230",0.712
"AT1G71250",0.712
"AT1G54955",0.712
"AT5G17980",0.712
"AT3G24220",0.712
"AT5G52330",0.712
"AT1G53100",0.712
"AT1G54100",0.712
"AT3G27785",0.711
"AT5G17190",0.711
"AT4G39800",0.711
"AT4G27450",0.711
"AT2G27940",0.71
"AT1G09510",0.71
"AT1G72830",0.71
"AT5G18840",0.71
"AT1G69295",0.71
"AT3G03320",0.71
"AT1G07080",0.71
"AT1G18100",0.709
"AT1G17810",0.709
"AT4G31830",0.709
"AT1G17130",0.709
"AT1G08370",0.709
"AT1G14490",0.708
"AT4G25980",0.708
"AT1G28030",0.708
"AT2G31090",0.708
"AT1G13570",0.707
"AT3G58740",0.707
"AT3G02940",0.707
"AT2G24430",0.707
"AT1G68510",0.706
"AT5G59800",0.706
"AT3G05500",0.706
"AT5G03970",0.706
"AT1G02310",0.705
"AT1G04920",0.705
"AT3G26440",0.705
"AT2G18540",0.705
"AT4G20480",0.705
"AT5G20940",0.704
"AT3G12670",0.704
"AT1G19900",0.703
"AT5G50600",0.703
"AT1G05160",0.702
"AT1G48130",0.702
"AT3G62090",0.702
"AT4G09820",0.702
"AT2G37260",0.702
"AT1G36060",0.701
"AT5G15330",0.701
"AT5G13560",0.7
"AT1G24735",0.7
"AT1G36990",0.7
"AT2G13290",0.7
"AT4G23930",0.7
"AT2G30470",0.7
"AT1G53270",0.699
"AT1G56170",0.699
"AT3G26990",0.699
"AT3G30460",0.699
"AT5G01310",0.698
"AT1G27330",0.698
"AT1G75760",0.698
"AT5G16380",0.698
"AT1G13590",0.698
"AT2G38890",0.698
"AT3G51940",0.698
"AT3G29260",0.698
"AT5G39890",0.698
"AT1G43890",0.697
"AT2G18780",0.697
"AT3G51620",0.697
"AT4G16500",0.697
"AT3G50620",0.697
"AT4G37520",0.697
"AT4G20400",0.696
"AT1G15150",0.696
"AT1G31480",0.696
"AT1G10540",0.696
"AT4G03050",0.696
"AT2G41290",0.696
"AT5G01300",0.695
"AT5G52580",0.695
"AT5G25470",0.695
"AT5G58020",0.695
"AT3G61980",0.695
"AT1G22770",0.694
"AT3G57340",0.694
"AT1G12550",0.694
"AT3G22400",0.694
"AT1G66460",0.693
"AT4G28370",0.693
"AT4G09030",0.693
"AT1G64000",0.693
"AT4G17215",0.693
"AT2G02120",0.692
"AT4G27250",0.692
"AT4G16160",0.692
"AT5G57400",0.692
"AT3G48580",0.692
"AT5G08360",0.692
"AT5G55240",0.692
"AT1G01225",0.692
"AT5G59210",0.692
"AT1G01725",0.691
"AT4G36190",0.691
"AT1G25410",0.691
"AT3G14630",0.691
"AT5G19410",0.691
"AT5G08460",0.691
"AT2G28120",0.691
"AT3G54510",0.691
"AT4G26220",0.691
"AT3G22070",0.69
"AT1G04560",0.69
"AT2G35900",0.69
"AT1G33260",0.69
"AT5G45160",0.69
"AT5G07260",0.69
"AT4G05050",0.689
"AT4G38000",0.689
"AT1G71890",0.689
"AT1G23550",0.689
"AT1G25530",0.689
"AT1G17510",0.689
"AT2G04900",0.689
"AT3G20140",0.688
"AT3G29170",0.688
"AT5G62260",0.688
"AT2G43950",0.688
"AT1G07420",0.687
"AT1G22990",0.687
"AT1G65670",0.687
"AT4G38570",0.686
"AT5G50360",0.686
"AT5G49190",0.685
"AT1G19730",0.685
"AT5G13790",0.685
"AT5G17800",0.685
"AT1G04830",0.685
"AT5G08500",0.685
"AT4G34430",0.684
"AT1G74280",0.684
"AT1G73190",0.684
"AT2G45320",0.684
"AT3G25160",0.684
"AT3G26380",0.684
"AT4G34540",0.683
"AT5G17680",0.683
"AT4G27780",0.683
"AT5G45320",0.683
"AT3G30290",0.682
"AT4G00320",0.682
"AT2G23640",0.682
"AT5G65070",0.682
"AT5G58070",0.682
"AT2G37460",0.682
"AT1G23200",0.682
"AT4G26700",0.682
"AT2G22510",0.682
"AT5G22810",0.681
"AT1G27461",0.681
"AT4G34250",0.681
