"tair_id","r_value"
"AT3G16120",0.988
"AT5G40840",0.973
"ATMG00160",0.971
"AT1G01520",0.971
"AT3G53160",0.965
"AT2G41260",0.964
"AT2G34740",0.953
"AT5G06750",0.948
"AT5G64210",0.93
"AT1G52560",0.93
"ATMG01200",0.928
"AT2G07687",0.919
"AT5G07950",0.918
"AT1G72660",0.912
"AT1G60750",0.908
"AT1G12130",0.906
"AT1G46768",0.906
"AT1G17010",0.905
"AT5G07380",0.9
"AT3G24070",0.897
"AT3G12350",0.896
"AT5G18100",0.896
"AT3G14330",0.895
"AT4G38380",0.893
"AT2G07777",0.892
"AT4G26050",0.892
"AT2G18340",0.891
"AT3G55720",0.886
"AT1G77680",0.885
"AT5G47080",0.882
"AT5G12840",0.877
"AT5G66430",0.876
"AT1G23450",0.873
"AT5G17540",0.873
"AT5G14960",0.871
"AT2G03520",0.87
"AT5G04010",0.87
"AT5G57260",0.869
"AT4G10070",0.868
"AT5G41360",0.862
"AT1G78070",0.862
"AT5G18450",0.861
"AT5G05230",0.861
"AT5G54070",0.86
"AT3G26240",0.856
"AT4G13160",0.856
"AT3G01990",0.856
"AT3G17740",0.856
"AT3G60410",0.856
"ATMG00060",0.855
"ATMG01130",0.852
"AT1G17680",0.852
"AT1G16730",0.85
"AT5G25180",0.848
"AT1G69010",0.848
"AT5G54300",0.848
"AT2G26470",0.845
"AT1G31790",0.845
"AT3G53180",0.843
"AT5G11460",0.841
"AT3G46660",0.84
"AT1G07530",0.84
"AT5G16820",0.839
"AT3G07740",0.837
"AT5G16650",0.837
"AT1G22370",0.835
"AT5G44280",0.832
"AT1G13960",0.832
"AT1G17145",0.831
"AT5G12310",0.831
"AT5G57900",0.831
"AT5G05550",0.831
"AT3G61530",0.83
"AT5G05880",0.829
"AT1G17520",0.828
"AT2G01735",0.828
"AT4G39890",0.827
"AT3G13350",0.827
"AT1G10170",0.825
"AT1G28540",0.825
"AT1G13640",0.825
"AT5G23230",0.823
"AT2G25350",0.822
"AT1G56090",0.822
"AT4G32650",0.822
"AT5G50960",0.821
"AT5G52530",0.819
"AT1G64820",0.818
"AT1G21780",0.818
"AT1G01930",0.817
"AT5G27750",0.813
"AT2G43580",0.812
"AT5G06839",0.811
"AT3G05120",0.811
"AT5G44090",0.81
"AT2G36370",0.81
"AT3G42860",0.809
"AT1G23950",0.809
"AT1G35660",0.808
"AT2G41710",0.806
"AT4G38600",0.805
"AT1G67600",0.805
"AT1G07980",0.804
"AT1G68240",0.804
"AT4G36600",0.804
"AT5G14180",0.803
"AT3G58530",0.803
"AT5G47090",0.802
"AT2G41460",0.802
"AT5G51170",0.801
"AT5G19430",0.801
"AT5G24160",0.801
"AT5G03340",0.8
"AT1G75860",0.8
"AT2G20560",0.8
"AT1G21160",0.8
"AT2G19560",0.799
"AT2G03540",0.799
"AT4G25200",0.797
"AT2G04890",0.796
"AT3G17365",0.796
"AT3G03620",0.795
"AT4G15475",0.795
"AT3G06380",0.795
"AT3G25910",0.794
"AT5G56180",0.794
"AT2G47890",0.794
"AT4G18160",0.793
"AT4G11360",0.791
"AT5G47400",0.789
"AT5G14180",0.789
"AT4G21500",0.788
"AT2G04040",0.788
"AT4G11110",0.788
"AT1G23070",0.788
"AT5G52070",0.787
"AT2G32415",0.787
"AT5G03180",0.787
"AT2G45620",0.786
"AT1G70590",0.785
"AT2G23320",0.785
"AT5G07360",0.784
"AT2G27490",0.783
"AT1G77570",0.781
"AT3G53970",0.781
"AT1G03990",0.781
"AT3G61790",0.78
"AT2G22010",0.78
"AT5G63200",0.778
"AT5G06330",0.778
"AT2G47970",0.778
"AT1G53540",0.778
"AT4G38440",0.778
"AT2G42950",0.777
"AT3G62770",0.776
"AT2G38185",0.776
"AT1G36730",0.775
"AT1G01350",0.775
"AT5G53080",0.773
"AT2G04690",0.773
"AT3G21070",0.773
"AT5G38780",0.773
"AT1G67580",0.773
"AT5G17570",0.772
"AT1G27150",0.771
"AT5G03560",0.771
"AT2G46660",0.77
"AT1G60680",0.77
"AT4G16100",0.769
"AT2G26350",0.769
"AT3G45590",0.769
"AT1G67820",0.767
"AT2G48100",0.767
"AT3G21650",0.766
"AT2G36770",0.766
"AT1G06110",0.766
"AT3G25870",0.765
"AT5G01880",0.763
"AT2G18440",0.762
"AT1G16040",0.762
"AT1G55590",0.762
"AT5G59700",0.762
"AT1G77000",0.761
"AT5G14270",0.759
"AT1G11710",0.759
"AT1G15180",0.758
"AT5G13950",0.758
"AT5G60540",0.758
"AT1G53200",0.756
"AT1G68020",0.755
"AT1G77150",0.754
"AT5G37670",0.754
"AT3G49640",0.753
"AT4G33940",0.753
"AT1G21770",0.753
"AT4G01120",0.752
"AT1G12970",0.752
"AT4G10925",0.751
"AT1G13190",0.75
"AT4G17410",0.749
"AT2G27350",0.749
"AT5G13570",0.748
"ATMG00640",0.748
"AT5G59340",0.748
"AT3G19670",0.748
"AT3G12250",0.747
"AT2G01220",0.747
"AT1G53790",0.746
"AT2G07711",0.746
"AT3G14880",0.746
"AT1G05890",0.745
"AT2G44990",0.745
"AT3G63400",0.745
"AT2G36270",0.744
"AT2G18250",0.744
"AT1G17530",0.743
"AT5G20960",0.742
"AT5G06960",0.742
"AT5G64150",0.742
"AT4G24800",0.742
"AT2G40340",0.741
"AT3G07565",0.741
"AT1G03770",0.741
"AT1G45976",0.741
"AT4G09680",0.74
"AT1G14740",0.74
"AT1G78780",0.739
"AT4G21710",0.739
"AT1G80040",0.738
"AT1G32810",0.738
"AT1G67340",0.735
"AT4G30935",0.735
"AT1G76070",0.734
"AT1G51090",0.734
"AT5G67570",0.734
"AT4G29490",0.734
"AT1G15300",0.733
"AT1G48560",0.733
"AT1G56600",0.733
"AT2G44950",0.733
"AT5G09390",0.733
"AT1G72650",0.731
"AT1G62422",0.731
"AT5G16630",0.73
"AT1G01970",0.73
"AT1G27650",0.729
"AT5G60410",0.729
"AT4G31270",0.729
"AT2G07678",0.729
"AT3G51110",0.728
"AT3G20250",0.727
"AT4G36010",0.727
"AT2G07698",0.726
"AT5G17370",0.726
"AT2G26060",0.726
"AT5G60410",0.726
"AT2G42400",0.725
"AT3G14180",0.725
"AT1G03030",0.725
"AT5G47040",0.725
"AT4G01280",0.725
"AT4G01790",0.724
"AT4G31750",0.724
"AT4G00755",0.724
"AT4G23840",0.724
"AT5G22290",0.724
"AT1G66770",0.724
"AT3G20650",0.723
"AT5G05800",0.723
"AT5G53990",0.722
"AT3G04590",0.721
"AT1G55930",0.721
"AT3G46640",0.72
"AT1G15060",0.72
"AT2G43820",0.72
"AT1G08050",0.72
"AT3G24180",0.719
"AT1G66650",0.719
"AT2G02230",0.719
"AT1G33230",0.718
"AT1G02890",0.718
"AT1G26660",0.718
"AT4G16830",0.717
"AT4G25580",0.717
"AT3G14160",0.716
"AT3G02280",0.716
"AT5G05220",0.715
"AT2G25140",0.714
"AT5G65550",0.714
"AT5G63860",0.714
"AT4G24150",0.713
"AT1G07030",0.713
"AT5G08550",0.713
"AT3G63270",0.712
"AT5G57790",0.712
"AT5G08470",0.711
"AT5G14570",0.711
"AT5G26880",0.71
"AT5G09990",0.71
"AT4G23050",0.71
"AT1G55090",0.709
"AT2G38560",0.709
"AT1G76590",0.709
"AT3G57380",0.709
"AT3G45830",0.708
"AT3G22490",0.708
"AT5G17270",0.708
"AT5G10710",0.707
"AT4G31670",0.707
"AT1G16030",0.707
"AT1G09140",0.707
"AT3G58630",0.706
"AT1G77360",0.706
"AT2G39580",0.705
"AT5G54950",0.704
"AT1G16540",0.704
"AT3G06670",0.704
"AT1G76280",0.703
"AT1G64110",0.702
"AT3G20490",0.702
"AT4G26000",0.701
"AT4G17420",0.701
"AT5G47830",0.7
"AT5G13970",0.7
"AT1G55310",0.7
"AT4G27670",0.7
"AT3G21600",0.7
"AT3G07370",0.7
"AT4G16250",0.7
"AT5G41960",0.7
"AT1G55250",0.7
"AT3G06540",0.7
"AT1G16770",0.7
"AT5G18110",0.699
"AT3G06810",0.699
"AT2G01490",0.698
"AT5G03070",0.698
"AT1G34180",0.698
"AT4G32910",0.698
"AT5G13310",0.697
"AT1G15330",0.697
"AT5G17850",0.695
"AT2G21195",0.694
"AT1G19610",0.694
"AT3G53000",0.693
"AT4G28300",0.693
"AT4G37370",0.693
"AT3G46670",0.693
"AT3G19520",0.692
"AT1G11020",0.692
"AT4G26430",0.692
"AT5G52640",0.692
"AT5G52660",0.691
"AT4G29420",0.691
"AT1G78930",0.691
"AT3G24820",0.69
"AT5G27210",0.69
"AT5G52580",0.689
"AT5G14620",0.689
"AT1G02750",0.688
"AT3G03740",0.688
"AT1G74370",0.688
"AT2G11940",0.688
"AT4G32040",0.688
"AT1G27160",0.687
"AT4G29000",0.686
"AT2G45690",0.686
"AT2G30350",0.686
"AT3G17880",0.686
"AT5G13020",0.686
"AT1G11950",0.686
"AT4G31860",0.685
"AT3G06630",0.685
"AT4G02690",0.685
"AT1G49850",0.685
"AT2G29300",0.685
"AT4G27680",0.684
"AT3G45770",0.684
"AT1G71330",0.684
"AT5G48655",0.684
"AT3G01770",0.683
"AT3G47550",0.682
"AT5G09350",0.682
"AT1G48550",0.681
"AT1G58100",0.681
"AT5G18400",0.68
"AT3G54950",0.68
"AT1G30070",0.679
"AT5G02020",0.679
"AT3G03170",0.679
"AT1G70180",0.678
"AT2G32120",0.678
"AT5G54520",0.678
"AT1G60730",0.677
"AT1G28530",0.677
"AT1G27590",0.676
"AT3G04350",0.676
"AT1G78420",0.676
"AT5G09970",0.675
"AT4G15780",0.675
"AT4G14850",0.675
"AT5G19150",0.675
"AT1G71730",0.674
"AT2G29090",0.674
"AT3G28700",0.674
"AT5G59950",0.674
"AT3G11540",0.674
"AT2G40930",0.674
"AT5G51760",0.673
"AT2G37150",0.673
"AT2G36840",0.673
"AT5G67350",0.673
"AT5G65100",0.672
"AT4G18900",0.672
"AT3G45900",0.672
"AT5G47430",0.672
"AT5G58160",0.671
"AT5G56140",0.671
"AT5G56290",0.671
"AT3G50880",0.671
"AT1G65280",0.671
"AT3G05210",0.67
"AT5G62520",0.669
"AT1G71350",0.669
"AT3G27870",0.668
"AT1G61340",0.668
"AT4G16510",0.667
"AT4G11740",0.667
"AT1G04950",0.667
"AT3G11960",0.666
"AT2G20990",0.666
"AT2G03280",0.666
"AT3G06940",0.665
"AT2G36680",0.665
"AT3G09310",0.665
"AT1G73380",0.665
"AT5G19400",0.664
"AT3G10550",0.664
"AT4G10790",0.664
"AT5G51340",0.663
"AT5G58040",0.663
"AT1G22985",0.663
"AT4G12130",0.663
"AT5G20120",0.663
"AT5G42870",0.662
"AT1G58150",0.662
"AT1G01160",0.661
"AT5G64160",0.66
"AT3G16857",0.659
"AT2G38820",0.658
"AT5G50780",0.658
"AT5G53220",0.658
"AT3G09600",0.657
"AT2G32900",0.657
"AT1G70840",0.657
"AT5G22330",0.657
"AT1G53760",0.656
"AT3G09370",0.655
"AT1G80400",0.654
"AT5G24320",0.654
"AT1G13450",0.654
"AT3G06250",0.654
"AT5G62650",0.654
"AT5G06860",0.654
"AT5G18420",0.653
"AT4G21350",0.653
"AT3G01320",0.653
"AT1G62310",0.653
"AT5G54170",0.653
"ATMG00070",0.652
"AT1G09810",0.652
"AT2G43210",0.652
"AT1G02060",0.652
"AT3G21290",0.651
"AT5G26040",0.65
"AT1G28050",0.65
"AT4G31540",0.65
"AT5G13030",0.649
"AT3G53390",0.649
"AT2G04550",0.649
"AT3G10330",0.649
"AT4G17730",0.649
"AT4G40070",0.649
"AT1G59500",0.648
"AT5G55470",0.648
"AT5G44170",0.648
"AT5G60100",0.648
"AT1G22190",0.647
"AT2G07719",0.647
"AT5G16210",0.647
"AT1G52920",0.647
"AT5G50320",0.647
"AT3G54480",0.647
"AT5G49690",0.647
"AT1G16650",0.647
"AT4G09150",0.645
"AT5G22690",0.645
"AT1G07910",0.645
"AT5G66730",0.644
"AT5G66880",0.644
"AT3G19910",0.644
"AT2G34900",0.644
"AT2G28120",0.643
"AT3G49320",0.643
"AT1G30500",0.642
"AT4G11860",0.641
"AT4G28020",0.641
"AT3G57340",0.641
"AT1G55500",0.64
"AT5G44150",0.64
"AT3G08850",0.64
"AT1G15230",0.64
"AT1G05060",0.64
"AT3G24870",0.64
"AT5G46410",0.639
"AT5G51980",0.639
"AT1G55080",0.639
"AT1G45150",0.638
"AT2G15695",0.638
"AT4G12570",0.638
"AT3G19860",0.638
"AT2G22780",0.638
"AT5G04500",0.638
"AT5G10510",0.637
"AT1G69790",0.637
"AT1G21610",0.637
"AT4G21323",0.637
"AT3G16910",0.637
"AT2G19930",0.637
"AT1G14530",0.636
"AT1G04790",0.636
"AT4G36620",0.635
"AT5G06120",0.634
"AT1G48840",0.634
"AT4G17140",0.634
"AT2G45150",0.634
"AT5G49930",0.634
"AT1G26800",0.633
"AT5G14530",0.633
"AT3G15355",0.633
"AT1G30860",0.633
"AT4G30150",0.632
"AT4G25520",0.632
"AT5G11580",0.632
"AT2G20400",0.632
"AT1G21930",0.632
"AT2G02220",0.631
"AT2G38465",0.631
"AT5G02880",0.631
"AT2G06010",0.631
"AT1G72390",0.631
"AT4G28610",0.631
"AT2G42280",0.631
"AT3G43510",0.631
"AT5G61140",0.63
"AT1G06630",0.63
"AT1G61040",0.63
"AT2G07798",0.63
"AT5G56180",0.63
"AT3G42790",0.63
"AT3G05510",0.63
"AT1G16090",0.63
"AT3G12300",0.629
"AT1G28560",0.629
"AT2G32000",0.629
"AT1G17640",0.629
"AT5G49400",0.628
"AT5G44670",0.628
"AT3G13225",0.627
"AT3G10210",0.627
"AT3G26910",0.627
"AT5G63200",0.627
"AT3G54380",0.627
"AT2G03340",0.627
"AT3G18100",0.627
"AT4G39850",0.626
"AT3G15351",0.626
"AT5G56100",0.626
"AT2G23240",0.626
"AT1G60650",0.626
"AT1G12710",0.625
"AT5G10070",0.624
"AT4G28390",0.623
"AT3G05200",0.623
"AT5G04250",0.623
"AT1G59750",0.623
"AT4G15410",0.623
"AT5G02910",0.623
"AT2G18700",0.623
"AT1G29770",0.622
"AT3G10650",0.622
"AT2G01080",0.622
"AT1G79190",0.622
"AT4G17330",0.622
"AT2G06005",0.621
"AT1G16840",0.621
"AT2G26990",0.62
"AT2G12290",0.62
"AT5G04000",0.62
"AT4G20330",0.619
"AT3G03310",0.619
"AT4G19390",0.619
"AT3G16857",0.619
"AT2G01930",0.619
"AT5G16270",0.618
"AT3G14710",0.618
"AT5G08139",0.618
"AT3G16740",0.618
"AT4G31070",0.617
"AT5G39785",0.617
"AT5G44250",0.616
"AT2G35550",0.616
"AT1G62730",0.615
"AT5G25450",0.615
"AT2G03690",0.615
"AT1G64040",0.615
"AT2G13840",0.615
