"tair_id","r_value"
"AT2G38900",0.974
"AT3G13540",0.948
"AT3G29810",0.936
"AT3G04280",0.926
"AT2G42860",0.914
"AT3G25260",0.913
"AT5G48100",0.903
"AT2G41230",0.9
"AT1G68170",0.9
"AT5G44360",0.899
"AT5G50260",0.888
"AT1G62000",0.884
"AT4G37050",0.881
"AT5G38195",0.873
"AT1G43640",0.872
"AT5G38160",0.868
"AT2G45840",0.867
"AT3G26744",0.867
"AT5G24316",0.866
"AT5G14130",0.864
"AT1G78390",0.862
"AT5G13390",0.862
"AT4G26590",0.862
"AT4G12250",0.859
"AT1G76290",0.858
"AT3G49300",0.856
"AT4G00220",0.856
"AT4G36700",0.855
"AT4G10490",0.853
"AT1G60970",0.851
"AT1G16980",0.85
"AT3G63040",0.848
"AT1G04660",0.847
"AT2G38870",0.846
"AT2G27070",0.843
"AT2G25940",0.843
"AT4G34520",0.842
"AT3G26790",0.842
"AT2G46960",0.842
"AT2G45420",0.841
"AT1G20500",0.841
"AT5G03795",0.841
"AT5G38170",0.839
"AT1G17060",0.839
"AT4G32290",0.839
"AT1G27080",0.839
"AT5G51210",0.838
"AT3G58200",0.837
"AT1G68380",0.833
"AT4G37360",0.833
"AT1G05280",0.831
"AT1G14580",0.831
"AT2G21180",0.83
"AT1G17770",0.83
"AT2G28650",0.828
"AT5G28910",0.828
"AT2G44450",0.826
"AT5G03810",0.824
"AT5G26120",0.823
"AT4G37950",0.822
"AT1G07870",0.821
"AT1G62290",0.821
"AT1G67100",0.821
"AT1G19190",0.819
"AT3G03240",0.819
"AT1G11170",0.818
"AT1G09380",0.818
"AT2G38530",0.818
"AT5G56300",0.817
"AT4G29650",0.816
"AT1G08700",0.815
"AT2G19570",0.815
"AT5G59590",0.815
"AT5G47150",0.815
"AT5G62800",0.812
"AT2G22620",0.812
"AT3G52780",0.812
"AT1G62620",0.811
"AT2G32750",0.811
"AT2G34700",0.809
"AT3G03590",0.809
"AT1G20550",0.809
"AT1G48910",0.808
"AT1G31830",0.808
"AT5G12970",0.808
"AT5G47550",0.808
"AT4G31060",0.806
"AT4G32770",0.806
"AT1G68470",0.806
"AT5G09640",0.805
"AT4G19380",0.804
"AT5G13170",0.804
"AT2G02580",0.804
"AT4G29230",0.804
"AT5G48950",0.803
"AT3G20500",0.802
"AT5G59220",0.802
"AT5G50770",0.802
"AT5G18290",0.801
"AT2G23410",0.801
"AT5G16230",0.8
"AT2G36760",0.8
"AT1G01250",0.799
"AT1G22180",0.799
"AT5G47330",0.798
"AT4G26200",0.798
"AT2G40370",0.798
"AT5G51490",0.798
"AT5G59845",0.796
"AT1G80330",0.795
"AT1G08810",0.793
"AT5G60460",0.793
"AT3G01570",0.792
"AT3G62730",0.791
"AT5G44120",0.79
"AT5G40420",0.79
"AT1G47540",0.789
"AT4G10150",0.789
"AT5G17430",0.789
"AT3G17600",0.789
"AT5G42200",0.788
"AT1G04120",0.788
"AT1G09790",0.787
"AT3G47950",0.787
"AT5G15740",0.787
"AT1G31280",0.786
"AT3G14360",0.784
"AT2G01580",0.783
"AT3G03230",0.783
"AT3G49780",0.783
"AT4G28520",0.782
"AT4G27150",0.781
"AT1G03880",0.778
"AT3G46920",0.777
"AT5G50750",0.777
"AT5G01790",0.776
"AT5G07200",0.776
"AT4G27160",0.775
"AT5G07190",0.775
"AT1G09510",0.773
"AT1G12010",0.771
"AT1G33700",0.771
"AT5G17980",0.771
"AT1G65090",0.77
"AT3G16770",0.77
"AT5G55620",0.77
"AT2G40950",0.769
"AT5G64080",0.768
"AT3G10200",0.768
"AT2G27380",0.768
"AT3G07680",0.768
"AT4G27140",0.767
"AT1G29820",0.767
"AT2G15440",0.766
"AT1G68220",0.766
"AT1G64660",0.766
"AT1G18840",0.766
"AT3G20340",0.766
"AT2G43520",0.766
"AT3G28360",0.765
"AT2G02990",0.765
"AT4G29640",0.765
"AT5G24600",0.765
"AT4G25140",0.764
"AT2G47750",0.764
