"tair_id","r_value"
"AT3G16120",0.989
"AT5G40840",0.976
"AT1G01520",0.97
"AT2G41260",0.968
"ATMG00160",0.968
"AT3G53160",0.964
"AT2G34740",0.956
"AT5G06750",0.95
"AT1G52560",0.934
"AT5G64210",0.934
"ATMG01200",0.927
"AT5G07950",0.921
"AT2G07687",0.92
"AT1G72660",0.915
"AT1G12130",0.911
"AT1G17010",0.911
"AT1G46768",0.91
"AT1G60750",0.91
"AT5G18100",0.902
"AT5G07380",0.901
"AT4G26050",0.899
"AT3G14330",0.899
"AT3G12350",0.897
"AT3G24070",0.896
"AT4G38380",0.896
"AT2G18340",0.893
"AT3G55720",0.888
"AT2G07777",0.886
"AT1G77680",0.886
"AT5G12840",0.883
"AT5G66430",0.882
"AT5G47080",0.88
"AT5G57260",0.879
"AT2G03520",0.877
"AT5G04010",0.877
"AT5G14960",0.875
"AT1G23450",0.874
"AT4G10070",0.871
"AT5G17540",0.87
"AT5G18450",0.869
"AT1G78070",0.868
"AT5G54070",0.867
"AT5G05230",0.866
"AT4G13160",0.861
"AT5G41360",0.86
"AT3G26240",0.859
"AT1G16730",0.858
"AT5G54300",0.856
"AT3G17740",0.856
"AT5G25180",0.855
"AT3G01990",0.853
"ATMG00060",0.852
"AT3G60410",0.851
"AT1G17680",0.849
"AT1G69010",0.847
"ATMG01130",0.847
"AT1G07530",0.846
"AT5G11460",0.846
"AT5G16650",0.845
"AT1G31790",0.845
"AT5G16820",0.845
"AT3G46660",0.843
"AT2G26470",0.843
"AT3G53180",0.842
"AT3G07740",0.84
"AT5G44280",0.839
"AT1G22370",0.837
"AT1G17145",0.836
"AT1G17520",0.836
"AT3G61530",0.835
"AT3G13350",0.834
"AT1G13960",0.834
"AT5G12310",0.834
"AT4G39890",0.833
"AT1G28540",0.833
"AT1G13640",0.832
"AT5G05880",0.832
"AT5G05550",0.831
"AT5G57900",0.831
"AT5G23230",0.83
"AT5G50960",0.824
"AT1G21780",0.824
"AT1G56090",0.823
"AT4G32650",0.823
"AT5G52530",0.822
"AT1G10170",0.822
"AT2G01735",0.821
"AT2G25350",0.821
"AT1G64820",0.821
"AT2G43580",0.819
"AT3G42860",0.817
"AT5G27750",0.816
"AT1G01930",0.815
"AT5G06839",0.815
"AT3G05120",0.814
"AT1G67600",0.814
"AT1G35660",0.814
"AT2G41710",0.813
"AT1G23950",0.813
"AT2G36370",0.812
"AT5G14180",0.812
"AT5G47090",0.811
"AT4G36600",0.81
"AT1G07980",0.81
"AT5G44090",0.81
"AT2G41460",0.807
"AT1G68240",0.807
"AT1G75860",0.806
"AT5G51170",0.806
"AT3G03620",0.805
"AT2G04890",0.805
"AT5G19430",0.805
"AT3G58530",0.804
"AT5G03340",0.803
"AT5G24160",0.8
"AT2G19560",0.799
"AT3G17365",0.799
"AT2G03540",0.799
"AT2G47890",0.799
"AT4G38600",0.798
"AT3G25910",0.798
"AT4G15475",0.797
"AT3G06380",0.797
"AT1G23070",0.797
"AT2G04040",0.797
"AT5G03180",0.796
"AT5G47400",0.795
"AT1G21160",0.795
"AT5G14180",0.794
"AT2G20560",0.794
"AT4G11110",0.793
"AT4G25200",0.793
"AT5G56180",0.792
"AT5G07360",0.792
"AT4G11360",0.79
"AT1G03990",0.79
"AT2G23320",0.789
"AT4G18160",0.789
"AT1G77570",0.788
"AT2G27490",0.788
"AT4G21500",0.787
"AT3G53970",0.787
"AT5G52070",0.787
"AT2G32415",0.787
"AT1G70590",0.787
"AT2G42950",0.787
"AT2G45620",0.784
"AT5G63200",0.784
"AT5G06330",0.783
"AT4G38440",0.783
"AT2G38185",0.783
"AT5G17570",0.783
"AT1G01350",0.783
"AT2G04690",0.78
"AT2G46660",0.78
"AT5G53080",0.78
"AT1G67820",0.779
"AT3G61790",0.779
"AT5G38780",0.778
"AT2G47970",0.778
"AT5G03560",0.778
"AT1G27150",0.778
"AT3G21650",0.777
"AT3G62770",0.776
"AT1G60680",0.776
"AT2G26350",0.776
"AT3G21070",0.775
"AT1G53540",0.774
"AT2G36770",0.773
"AT1G06110",0.773
"AT1G15180",0.772
"AT3G45590",0.771
"AT3G25870",0.77
"AT2G22010",0.77
"AT2G48100",0.77
"AT5G13950",0.77
"AT1G36730",0.768
"AT5G01880",0.767
"AT4G16100",0.766
"AT1G77000",0.766
"AT5G59700",0.763
"AT1G11710",0.762
"AT1G67580",0.761
"AT2G18440",0.761
"AT1G68020",0.761
"AT5G14270",0.76
"AT3G14880",0.758
"AT4G01120",0.758
"AT5G59340",0.757
"AT1G53200",0.757
"AT5G60540",0.756
"AT4G33940",0.755
"AT2G44990",0.755
"AT5G37670",0.755
"AT3G63400",0.755
"AT1G16040",0.754
"AT1G77150",0.754
"AT1G12970",0.754
"AT2G36270",0.753
"AT1G21770",0.753
"AT4G17410",0.752
"AT5G13570",0.752
"AT1G53790",0.751
"AT4G10925",0.751
"AT3G49640",0.751
"AT1G55590",0.751
"AT2G18250",0.751
"AT5G64150",0.751
"AT1G13190",0.75
"AT2G07711",0.749
"AT3G07565",0.749
"AT5G20960",0.749
"AT1G03770",0.748
"AT1G14740",0.748
"AT1G17530",0.746
"AT3G19670",0.746
"AT1G45976",0.745
"AT1G51090",0.745
"AT3G12250",0.745
"ATMG00640",0.745
"AT4G30935",0.744
"AT1G78780",0.743
"AT2G40340",0.743
"AT1G80040",0.742
"AT4G24800",0.742
"AT5G06960",0.741
"AT4G31270",0.74
"AT1G05890",0.74
"AT1G62422",0.74
"AT1G01970",0.739
"AT2G01220",0.739
"AT2G27350",0.738
"AT1G56600",0.737
"AT1G67340",0.737
"AT1G48560",0.736
"AT4G09680",0.736
"AT1G15300",0.736
"AT5G16630",0.735
"AT1G27650",0.735
"AT1G03030",0.734
"AT1G66770",0.734
"AT1G32810",0.734
"AT5G22290",0.734
"AT4G01790",0.733
"AT5G09390",0.733
"AT2G42400",0.731
"AT1G76070",0.731
"AT4G21710",0.731
"AT5G67570",0.73
"AT3G04590",0.73
"AT2G26060",0.73
"AT3G14180",0.73
"AT1G66650",0.729
"AT2G07678",0.729
"AT3G20250",0.729
"AT4G36010",0.728
"AT1G72650",0.728
"AT4G00755",0.728
"AT4G23840",0.728
"AT5G05800",0.727
"AT4G25580",0.727
"AT1G02890",0.726
"AT5G47040",0.726
"AT2G43820",0.726
"AT1G08050",0.725
"AT5G05220",0.725
"AT4G29490",0.725
"AT5G65550",0.724
"AT5G60410",0.723
"AT3G51110",0.723
"AT1G33230",0.723
"AT2G44950",0.722
"AT2G02230",0.722
"AT4G24150",0.722
"AT5G57790",0.722
"AT3G24180",0.722
"AT1G55930",0.721
"AT4G16830",0.721
"AT5G17370",0.721
"AT5G14570",0.721
"AT1G26660",0.721
"AT2G07698",0.721
"AT5G08470",0.721
"AT1G15060",0.72
"AT4G31670",0.719
"AT4G01280",0.719
"AT5G53990",0.719
"AT1G07030",0.719
"AT3G14160",0.718
"AT3G46640",0.718
"AT3G22490",0.718
"AT3G02280",0.718
"AT5G09990",0.718
"AT5G60410",0.717
"AT3G63270",0.717
"AT1G76590",0.717
"AT1G77360",0.716
"AT3G58630",0.716
"AT4G31750",0.716
"AT1G16030",0.715
"AT3G20650",0.715
"AT2G25140",0.713
"AT1G64110",0.713
"AT5G63860",0.713
"AT1G55090",0.713
"AT2G38560",0.713
"AT3G57380",0.712
"AT5G08550",0.712
"AT5G26880",0.712
"AT4G26000",0.712
"AT5G54950",0.711
"AT4G23050",0.711
"AT1G16770",0.711
"AT4G16250",0.709
"AT5G13970",0.709
"AT4G17420",0.709
"AT5G03070",0.708
"AT5G10710",0.708
"AT1G15330",0.708
"AT1G16540",0.706
"AT1G34180",0.706
"AT5G41960",0.706
"AT2G39580",0.705
"AT1G09140",0.704
"AT5G17270",0.704
"AT5G17850",0.704
"AT5G13310",0.703
"AT3G06540",0.703
"AT1G76280",0.702
"AT3G07370",0.702
"AT3G45830",0.701
"AT1G74370",0.7
"AT3G53000",0.7
"AT1G55310",0.698
"AT1G11020",0.698
"AT1G78930",0.697
"AT5G18110",0.697
"AT3G20490",0.697
"AT2G21195",0.697
"AT5G27210",0.697
"AT1G19610",0.697
"AT1G02750",0.697
"AT2G01490",0.696
"AT2G29300",0.696
"AT5G14620",0.696
"AT3G06670",0.696
"AT3G06810",0.696
"AT4G26430",0.695
"AT5G18400",0.695
"AT3G46670",0.695
"AT4G32910",0.695
"AT1G49850",0.695
"AT4G02690",0.695
"AT4G27670",0.695
"AT3G21600",0.694
"AT5G52640",0.694
"AT4G28300",0.694
"AT5G47830",0.693
"AT5G52580",0.693
"AT4G29420",0.692
"AT4G27680",0.691
"AT2G30350",0.691
"AT1G48550",0.691
"AT1G55250",0.691
"AT4G29000",0.691
"AT5G52660",0.691
"AT4G37370",0.69
"AT3G45770",0.69
"AT3G03170",0.69
"AT1G27160",0.689
