"tair_id","r_value"
"AT3G21370",0.93
"AT2G41280",0.907
"AT1G26400",0.905
"AT2G33070",0.898
"AT2G29380",0.889
"AT5G66400",0.879
"AT4G09610",0.876
"AT2G40170",0.875
"AT1G14940",0.875
"AT1G14930",0.874
"AT5G57550",0.874
"AT4G31590",0.874
"AT3G12920",0.873
"AT5G52300",0.871
"AT2G27240",0.868
"AT5G55750",0.864
"AT1G15050",0.86
"AT3G48580",0.86
"AT1G75830",0.86
"AT1G54870",0.859
"AT2G42150",0.858
"AT5G06760",0.858
"AT1G30100",0.857
"AT1G69260",0.856
"AT2G07664",0.855
"AT5G44410",0.854
"AT3G15670",0.854
"AT2G42560",0.853
"AT2G47770",0.853
"AT3G22500",0.853
"AT4G21020",0.852
"AT1G23050",0.852
"AT4G09600",0.851
"AT1G32560",0.849
"AT3G17520",0.848
"AT5G62490",0.847
"AT3G05260",0.847
"AT2G38490",0.844
"AT4G21680",0.844
"AT3G50980",0.843
"AT5G35660",0.843
"AT1G07500",0.843
"AT5G64260",0.842
"AT3G56350",0.842
"AT1G05510",0.842
"AT1G73190",0.84
"AT2G07812",0.839
"AT3G12960",0.839
"AT1G14950",0.837
"AT2G07673",0.837
"AT5G62480",0.836
"AT3G58450",0.836
"AT3G57020",0.835
"AT1G70670",0.835
"AT5G45830",0.834
"AT3G50970",0.834
"AT1G52690",0.833
"AT1G16850",0.833
"AT3G51810",0.832
"AT5G40680",0.831
"AT1G77450",0.829
"AT5G24910",0.829
"AT2G21490",0.829
"AT1G27461",0.829
"AT4G27530",0.827
"AT3G11050",0.827
"AT1G02700",0.826
"AT5G45690",0.826
"AT1G06230",0.826
"AT2G06390",0.825
"AT3G21720",0.825
"AT5G66780",0.825
"AT1G73000",0.825
"AT2G06720",0.825
"AT1G27990",0.824
"ATMG01290",0.824
"AT2G05580",0.824
"AT1G17310",0.823
"AT4G35150",0.822
"AT3G25950",0.822
"AT5G52420",0.822
"AT3G53040",0.822
"AT5G01670",0.822
"AT1G01720",0.821
"AT1G02816",0.821
"AT5G22470",0.821
"AT2G32190",0.82
"AT5G63030",0.82
"AT3G61040",0.819
