gene_id,Symbol,product,,gene_synonym,EC_number
b0001,thrL,thr operon leader peptide,,ECK0001,
b0002,thrA,fused aspartate kinase/homoserine dehydrogenase 1,,ECK0002; Hs; thrA1; thrA2; thrD,1.1.1.3; 2.7.2.4
b0003,thrB,homoserine kinase,,ECK0003,2.7.1.39
b0004,thrC,threonine synthase,,ECK0004,4.2.3.1
b0005,yaaX,DUF2502 domain-containing protein YaaX,,ECK0005,
b0006,yaaA,DNA binding and peroxide stress response protein YaaA,,ECK0006,
b0007,yaaJ,putative transporter YaaJ,,ECK0007,
b0008,talB,transaldolase B,,ECK0008; yaaK,2.2.1.2
b0009,mog,molybdopterin adenylyltransferase,,bisD; chlG; ECK0009; mogA; yaaG,2.7.7.75
b0010,satP,acetate/succinate:H(+) symporter,,ECK0010; yaaH,
b0011,yaaW,putative enzyme-specific chaperone YaaW,,ECK0011,
b0012,mbiA,uncharacterized protein MbiA,,ECK0012; htgA; htpY,
b0013,yaaI,DUF2541 domain-containing protein YaaI,,ECK0013,
b0014,dnaK,chaperone protein DnaK,,ECK0014; groPAB; groPC; groPF; grpC; grpF; seg,3.6.4.10
b0015,dnaJ,chaperone protein DnaJ,,ECK0015; groP; grpC,
b0016,insL1,IS186/IS421 family transposase,,ECK0016; yi81-1,
b0018,mokC,regulatory protein MokC,,ECK0018; gefL,
b4412,hokC,small toxic polypeptide HokC,,ECK0017; gef,
b4413,sokC,small regulatory RNA antitoxin SokC,,ECK0019; sof,
b0019,nhaA,Na(+):H(+) antiporter NhaA,,ant; antA; ECK0020,
b0020,nhaR,DNA-binding transcriptional activator NhaR,,antO; ECK0021; yaaB,
b0021,insB1,IS1 family protein InsB,,ECK0022,
b0022,insA1,IS1 family protein InsA,,ECK0023,
b0023,rpsT,30S ribosomal subunit protein S20,,ECK0024; sup(s20); supS; supS20,
b0024,yaaY,DUF2575 domain-containing protein YaaY,,ECK0025,
b0025,ribF,bifunctional riboflavin kinase/FMN adenylyltransferase,,ECK0026; yaaC,2.7.1.26; 2.7.7.2
b0026,ileS,isoleucine--tRNA ligase,,ECK0027; ilvS,6.1.1.5
b0027,lspA,lipoprotein signal peptidase,,ECK0028; lsp,3.4.23.36
b0028,fkpB,peptidyl-prolyl cis-trans isomerase FkpB,,ECK0029; slpA; yaaD,5.2.1.8
b0029,ispH,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,,ECK0030; lytB; yaaE,1.17.7.4
b0030,rihC,ribonucleoside hydrolase RihC,,ECK0031; yaaF,3.2.2.1; 3.2.2.2; 3.2.2.3; 3.2.2.7
b0031,dapB,4-hydroxy-tetrahydrodipicolinate reductase,,ECK0032,1.17.1.8
b0032,carA,carbamoyl-phosphate synthetase small subunit,,arg; ECK0033; pyrA,6.3.5.5
b0033,carB,carbamoyl-phosphate synthetase large subunit,,ECK0034; pyrA,6.3.5.5
b0034,caiF,DNA-binding transcriptional activator CaiF,,ECK0035,
b0035,caiE,putative transferase CaiE,,ECK0036,
b0036,caiD,crotonobetainyl-CoA hydratase,,ECK0037; yaaL,4.2.1.149
b0037,caiC,carnitine--CoA ligase,,ECK0038; yaaM,6.2.1.48
b0038,caiB,gamma-butyrobetainyl-CoA:carnitine CoA transferase,,ECK0039; yaaN,2.8.3.21
b0039,caiA,crotonobetainyl-CoA reductase,,ECK0040; yaaO,1.3.8.13
b0040,caiT,L-carnitine:gamma-butyrobetaine antiporter,,ECK0041; yaaP,
b0041,fixA,putative electron transfer flavoprotein FixA,,ECK0042; yaaQ,
b0042,fixB,putative electron transfer flavoprotein FixB,,ECK0043; yaaR,
b0043,fixC,putative oxidoreductase FixC,,ECK0044; yaaS,
b0044,fixX,putative ferredoxin FixX,,ECK0045; yaaT,
b0045,yaaU,putative transporter YaaU,,ECK0046; yabE,
b0046,kefF,regulator of KefC-mediated potassium transport and quinone oxidoreductase,,ECK0047; yabF,
b0047,kefC,K(+) : H(+) antiporter KefC,,ECK0048; trkC,
b0048,folA,dihydrofolate reductase,,ECK0049; tmr; tmrA,1.5.1.3
b0049,apaH,diadenosine tetraphosphatase,,cfcB; ECK0050,3.6.1.40; 3.6.1.41
b0050,apaG,DUF525 domain-containing protein ApaG,,ECK0051,
b0051,rsmA,16S rRNA (A(1518)/A(1519))-N(6)-dimethyltransferase,,ECK0052; ksgA,2.1.1.182
b0052,pdxA,4-hydroxythreonine-4-phosphate dehydrogenase,,ECK0053,1.1.1.262
b0053,surA,chaperone SurA,,ECK0054,5.2.1.8
b0054,lptD,lipopolysaccharide assembly protein LptD,,ECK0055; imp; ostA; yabG,7.5.2.5
b0055,djlA,co-chaperone protein DjlA,,ECK0056; yabH,
b0056,yabP,putative uncharacterized protein YabP,,b4659; ECK0057,
b0057,yabQ,protein YabQ,,b4659; ECK0058,
b0058,rluA,23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase,,ECK0059; yabO,5.4.99.28; 5.4.99.29
b0059,rapA,RNA polymerase-binding ATPase and RNAP recycling factor,,ECK0060; hepA; yabA,
b0060,polB,DNA polymerase II,,dinA; ECK0061,2.7.7.7
b0061,araD,L-ribulose-5-phosphate 4-epimerase AraD,,ECK0062,5.1.3.4
b0062,araA,L-arabinose isomerase,,ECK0063,5.3.1.4
b0063,araB,ribulokinase,,ECK0064,2.7.1.16
b0064,araC,DNA-binding transcriptional dual regulator AraC,,ECK0065,
b0065,yabI,DedA family protein YabI,,ECK0066,
b0066,thiQ,thiamine ABC transporter ATP binding subunit,,ECK0067; sfuC; yabJ,7.6.2.15
b0067,thiP,thiamine ABC transporter membrane subunit,,ECK0068; sfuB; yabK,7.6.2.15
b0068,thiB,thiamine ABC transporter periplasmic binding protein,,ECK0069; sfuA; tbpA; yabL,7.6.2.15
b4762,sroA,small RNA SroA,,ECK4619; tpe79,
b0069,sgrR,DNA-binding transcriptional dual regulator SgrR,,ECK0070; yabN,
b4577,sgrS,small regulatory RNA SgrS,,ECK0071; ryaA,
b4662,sgrT,PtsG glucose transporter inhibitor,,ECK4477,
b0070,setA,sugar exporter SetA,,ECK0072; yabM,
b0071,leuD,3-isopropylmalate dehydratase subunit LeuD,,ECK0073,4.2.1.33
b0072,leuC,3-isopropylmalate dehydratase subunit LeuC,,ECK0074,4.2.1.33
b0073,leuB,3-isopropylmalate dehydrogenase,,ECK0075,1.1.1.85
b0074,leuA,2-isopropylmalate synthase,,ECK0076,2.3.3.13
b0075,leuL,leu operon leader peptide,,ECK0077; leuIP; leulL; leulLP; leuLP,
b0076,leuO,DNA-binding transcriptional dual regulator LeuO,,ECK0078,
b4726,yabR,protein YabR,,ECK4583,
b0077,ilvI,"acetolactate synthase/acetohydroxybutanoate synthase, catalytic subunit",,ECK0079,2.2.1.6
b0078,ilvH,"acetolactate synthase/acetohydroxybutanoate synthase, regulatory subunit",,brnP; ECK0080,2.2.1.6
b0080,cra,DNA-binding transcriptional regulator Cra,,ECK0081; fruC; fruR; shl,
b0081,mraZ,DNA-binding transcriptional repressor MraZ,,ECK0082; yabB,
b0082,rsmH,16S rRNA m(4)C1402 methyltransferase,,ECK0083; mraW; yabC,2.1.1.199
b0083,ftsL,cell division protein FtsL,,ECK0084; mraR; yabD,
b0084,ftsI,peptidoglycan DD-transpeptidase FtsI,,ECK0085; pbpB; sep,
b4810,ftsO,small regulatory RNA FtsO,,ECK4667,
b0085,murE,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase",,ECK0086,6.3.2.13
b0086,murF,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase,,ECK0087; mra,6.3.2.10
b0087,mraY,phospho-N-acetylmuramoyl-pentapeptide- transferase,,ECK0088; murX,2.7.8.13
b0088,murD,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,,ECK0089,6.3.2.9
b0089,ftsW,peptidoglycan glycosyltransferase FtsW,,ECK0090,
b0090,murG,N-acetylglucosaminyl transferase,,ECK0091,2.4.1.227
b0091,murC,UDP-N-acetylmuramate--L-alanine ligase,,ECK0092,6.3.2.8
b0092,ddlB,D-alanine--D-alanine ligase B,,ddl; ECK0093,6.3.2.4
b0093,ftsQ,cell division protein FtsQ,,ECK0094,
b0094,ftsA,cell division protein FtsA,,divA; ECK0095,
b4840,stfZ,small antisense RNA StfZ,,ECK4697,
b0095,ftsZ,cell division protein FtsZ,,ECK0096; sfiB; sulB,
b0096,lpxC,UDP-3-O-acyl-N-acetylglucosamine deacetylase,,asmB; ECK0097; envA,3.5.1.108
b0097,secM,SecA translation regulator,,ECK0098; srrA; yacA,
b0098,secA,protein translocation ATPase,,azi; ECK0099; pea; prlD,
b0099,mutT,8-oxo-dGTP diphosphatase,,ECK0100; nudA,3.6.1.55; 3.6.1.58
b0101,yacG,DNA gyrase inhibitor YacG,,ECK0101,
b0102,zapD,cell division factor ZapD,,ECK0102; yacF,
b0103,coaE,dephospho-CoA kinase,,ECK0103; yacE,2.7.1.24
b4727,yacM,protein YacM,,ECK4584,
b0104,guaC,GMP reductase,,ECK0104,1.7.1.7
b0106,hofC,inner membrane protein HofC,,ECK0105; hopC; yacD,
b0107,hofB,T2SSE family protein,,ECK0106; hopB,
b0108,ppdD,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdD,,ECK0107,
b0109,nadC,quinolinate phosphoribosyltransferase (decarboxylating),,ECK0108,2.4.2.19
b0110,ampD,"1,6-anhydro-N-acetylmuramoyl-L-alanine amidase",,ECK0109,3.5.1.28
b0111,ampE,protein AmpE,,ECK0110,
b0112,aroP,aromatic amino acid:H(+) symporter AroP,,aroR; ECK0111,
b0113,pdhR,DNA-binding transcriptional dual regulator PdhR,,aceC; ECK0112; genA; yacB,
b0114,aceE,pyruvate dehydrogenase E1 component,,ECK0113,1.2.1.104; 1.2.4.1
b0115,aceF,pyruvate dehydrogenase E2 subunit,,ECK0114,1.2.1.104; 2.3.1.12
b0116,lpd,lipoamide dehydrogenase,,dhl; ECK0115; lpdA,1.2.1.104; 1.2.1.105; 1.4.1.27; 1.8.1.4
b0117,yacH,DUF3300 domain-containing protein YacH,,ECK0116,
b0118,acnB,AcnB,,ECK0117; yacI; yacJ,4.2.1.99
b0119,yacL,PF06062 family protein YacL,,ECK0118,
b0120,speD,S-adenosylmethionine decarboxylase proenzyme,,ECK0119,4.1.1.50
b0121,speE,spermidine synthase,,ECK0120,2.5.1.16
b0122,yacC,putative lipoprotein YacC,,ECK0121,
b0123,cueO,multicopper oxidase CueO,,ECK0122; yacK,1.10.3.2; 1.16.3.1; 1.16.3.4
b0124,gcd,quinoprotein glucose dehydrogenase,,ECK0123,1.1.5.2
